nie 6332218
to 4700982
się 3858382
na 2519514
co 2149417
że 2100294
jest 2023735
do 1747671
tak 1628419
jak 1277886
mnie 1065417
ale 1015390
mi 924263
za 783708
ja 675544
ci 655634
tu 652984
go 632658
tego 609218
tym 606894
ty 601296
czy 589049
tylko 588777
po 582253
jestem 570516
cię 569614
ma 567307
może 561335
już 549631
mam 546019
jesteś 526905
pan 482611
coś 475751
dla 463658
wiem 461156
dobrze 445470
jeśli 443666
od 416904
teraz 415526
proszę 396558
tam 394069
wszystko 392808
masz 384384
więc 383285
nic 380302
być 372887
będzie 365191
gdzie 353188
są 350272
on 349643
mogę 343237
ten 341506
ciebie 319300
sobie 316512
wiesz 306393
ze 305086
bardzo 304918
jej 302980
kiedy 297674
był 295288
jeszcze 294146
nas 286426
chcę 285073
mój 283143
było 281541
no 279430
przez 275359
by 275342
pani 273782
ją 272158
jego 270696
ich 267371
dlaczego 266227
chcesz 259877
żeby 254798
tutaj 243253
mamy 242735
też 240465
bo 238884
dobra 237752
kto 234907
nigdy 229917
przepraszam 223935
mu 223016
naprawdę 215285
możesz 207462
chyba 205156
porządku 204944
dziękuję 203952
muszę 197728
panie 184840
właśnie 184626
ona 180695
domu 178302
zrobić 176038
nawet 175506
gdy 173406
prawda 172956
te 169082
nam 169024
będę 166245
zawsze 161958
bez 161809
nim 161295
je 161009
była 158727
jesteśmy 158063
dzięki 157553
tej 157189
moja 156694
trochę 155421
ktoś 155338
musisz 154581
cześć 152901
hej 151372
lat 149030
moje 148640
pana 148124
musimy 146524
dalej 145526
twój 144946
wszyscy 144790
czas 143941
chce 142771
który 142569
więcej 140970
tobą 140064
boże 139980
powiedzieć 139301
sam 138760
chodzi 137968
czego 136467
ta 135861
możemy 135316
albo 133176
mną 131100
razem 128955
niech 128810
dobry 128290
raz 127535
stało 127469
was 126116
czym 125583
prostu 124269
będziesz 124085
chodź 123571
czemu 120454
przed 120257
ludzi 119578
daj 119157
ludzie 119090
dzień 117068
przy 116691
życie 115875
niż 114380
robisz 114125
myślę 114041
lepiej 113481
kim 111217
myślisz 109028
miał 108819
my 108591
nikt 107112
czasu 107092
powiedz 106118
rzeczy 105655
twoja 105162
tych 105075
stąd 104623
niego 104038
mówi 103767
im 103316
temu 103065
jeden 102804
pod 102449
musi 100837
siebie 100307
twoje 99558
powiedział 99336
oczywiście 99248
ok 99020
moim 98709
oni 98518
dwa 94795
które 94007
pewnie 93961
