Dutch,Translation
halve,half
verdwijnen,to disappear
gelogen,lied
past,suits
bespreken,discuss
motor,engine
ontsnapt,Escaped
momentje,just hold on
ontbijt,breakfast
toilet,toilet
uitzoeken,to sort
volwassen,adult
eeuwig,eternal
afmaken,kill
dol,crazy
terecht,justifiably
oren,ears
machine,machine
verpest,ruined
verlaat,leaves
klootzakken,bastards
top,top
gemakkelijk,easy
gearresteerd,arrested
doos,box
geschoten,shot
gegeten,ate
betaalt,pays
rare,weird
big,big
ochtend,morning
ruikt,smells
huid,skin
trut,bitch
verhalen,stories
verraden,betray
tonen,to show
hopen,to hope
virus,virus
bedoeling,intention
officier,officer
schreef,wrote
krachten,forces
papieren,paper
bijzonder,special
betekenen,mean
opnemen,to withdraw
strand,beach
rapport,report
binnenkort,shortly
twijfel,doubt
inspecteur,inspector
gekke,crazy
veld,field
rechercheur,detective
lunch,lunch
ondertitel,subtitle
opstaan,to get up
lui,lazy
gezocht,sought
ophalen,to retrieve
verslaan,defeat
ergste,worst
drankje,drink
publiek,audience
nerveus,nervous
gedrag,behaviour
troep,rubbish
lab,lab
roken,smoking
keren,turn
zocht,was looking for
bad,bath
dik,fat
vaders,fathers
alarm,alarm
akkoord,agree
doelwit,target
vaker,more often
schade,injury
bruiloft,wedding
gegevens,facts
genoemd,named
terugkomen,coming back
vernietigd,destroyed
steken,stiches
geweld,violence
vergeven,to forgive
Amerikanen,Americans
mening,opinion
kies,choose
type,type
bedacht,invented
belangrijkste,main
las,las
grens,border
paniek,panic
universiteit,university
verboden,forbidden
west,west
rotzooi,mess
moed,courage
dichterbij,closer
blanke,White person
verbergen,hide
gaaf,great
voorkomen,prevent
duivel,devil
persoonlijke,personal
bepaalde,certain
Rome,Rome
rusten,rest
juffrouw,miss
fles,bottle
kaarten,Cards
dna,DNA
stappen,steps
vrije,free
schijnt,appears
favoriete,favourite
spelletje,game
broeder,brother
coach,coach
overkomen,happen
poort,gate
zomer,summer
afgesproken,agreed to meet
bron,source
advies,advice
Pete,Pete
Jason,Jason
sukkel,softy
geslapen,slept
jaloers,jealous
kogels,bullets
kamp,camp
zwak,weak
gevolgd,followed
vertrokken,left
stuurde,sent
menselijke,human
klanten,customers
lukken,succeed
Engeland,England
vingers,fingers
ziekte,disease
vissen,fishing
CIA,C.I.A
Mexico,Mexico
locatie,location
vangen,to catch
waardoor,as a result of which
nagedacht,thought
gaven,gifts
medische,medical
geloofde,believed
mooiste,most beautiful
broers,brothers
tevreden,satisfied
city,City
details,details
gereed,ready
aangedaan,affected
zojuist,just now
menselijk,human
blik,look
verband,bandage
schot,shot
punten,points
domme,stupid
vogel,bird
project,project
trekt,pulls
stemmen,to vote
genoegen,pleasure
burgemeester,mayor
genezen,cured
gedachte,thought
films,movies
hoopte,hoped
doc,doc
gebruikte,used
gelaten,left
voeren,feed
bedenken,to think of
bekijk,look at
verborgen,hidden
oplossing,solution
donder,Thunder
verdomd,damn
laag,low
km,km
bak,bin
speelde,played
verwachten,to expect
uitstekend,excellent
voedsel,food
arts,doctor
fouten,errors
super,super
testen,to test
kleur,colour
aangevallen,attacked
station,station
kip,chicken
Simon,Simon
piloot,pilot
truck,truck
duizenden,thousands
kluis,safe
maatje,Buddy
des,des
echtgenoot,husband
Don,Don
vermoordt,kills
gouden,golden
elf,eleven
gebleven,remained
taal,language
sterker,stronger
noorden,north
zwemmen,swimming
hoewel,although
leugenaar,liar
St.,St.
vermist,missing
toon,show
vijanden,enemies
meegemaakt,experienced
compleet,completely
shirt,shirt
deuren,doors
vertrekt,leaves
lijden,suffering
geïnteresseerd,interested
veroorzaakt,causes
telefoontje,phone call
proces,process
tent,tent
harder,louder
drank,drink
begrafenis,funeral
achtergelaten,abandoned
gedragen,to behave
war,war
verstand,mind
stuurt,sends
snapt,understands
oplossen,dissolve
vaarwel,farewell
