Dutch,Translation
opdracht,Job
gevangen,captured
hoek,corner
vanmorgen,this morning
verandert,changes
vis,fish
waarvan,of which
heilige,saint
hoge,high
excuses,apologies
bedoelde,referred to
klas,class
kogel,ball
simpel,easy
hoogte,height
honden,dogs
waarmee,by which
goud,gold
wens,wish
prachtige,gorgeous
zakken,to fail
eenmaal,once
kat,cat
plaatsen,places
rood,red
sleutels,Keys
ware,true
onderzoeken,to research
dachten,thought
vrijheid,freedom
sprak,spoke
gooien,to throw
last,burden
rivier,river
hiermee,with this
noemt,mentions
blauwe,blue
hoelang,how long
tante,aunt
vele,many
soldaat,soldier
huilen,to cry
feit,fact
programma,program
getuige,witness
Tommy,Tommy
begraven,to bury
gezeten,seated
grap,joke
Christus,Christ
vriendje,boyfriend
onmiddellijk,immediately
bereid,prepared
bedanken,to thank
twintig,twenty
beeld,image
verklaring,declaration
woon,live
twaalf,twelve
stelt,stilt
beweging,movement
duren,to last
patiënt,patient
thee,tea
indruk,impression
totaal,total
Parijs,Paris
ballen,balls
dorp,village
stukje,piece
leider,leader
zwaard,sword
kus,kiss
taxi,cab
gevoelens,feelings
verdachte,suspect
Engels,English
zware,heavy
vlak,right
soldaten,soldiers
zagen,saws
lol,LOL
langzaam,slowly
hangen,to hang
keuken,kitchen
wind,wind
cel,cell
breken,break
vergeef,forgive
geluid,sound
slaapt,sleeps
moorden,murders
aangenaam,nice to meet you
geholpen,assisted
beest,beast
bier,beer
actie,action
dieren,animals
krant,newspaper
draag,carry
leidt,leads
ontvangen,received
minuut,minute
levens,lives
appartement,apartment
draaien,turn
vakantie,holidays
leer,learn
sterft,dies
mist,fog
vecht,fight
passen,to fit
jurk,dress
privé,privately
hoer,whore
chef,chief
wraak,revenge
sexy,sexy
gauw,soon
slot,key lock
afstand,distance
Washington,Washington
gratis,free
wint,wins
reed,drove
strijd,conflict
ervaring,experience
honderd,hundred
bouwen,to build
leiding,pipe
schoon,beautiful
geslagen,beaten
draait,turns
belangrijke,important
risico,risk
trap,stairs
prinses,princess
verantwoordelijk,responsible
neuken,fuck
goedenavond,Good evening
slachtoffers,victims
bezit,possess
noemde,mentioned
armen,poor
roep,call
schoot,shot
vertrek,departure
restaurant,restaurant
geniet,enjoy
gepraat,talked
dikke,thick
rol,role
kerels,guys
tijden,times
misdaad,crime
homo,homo
leef,live
springen,to jump
directeur,director
erachter,behind it
start,Start
wezen,being
rijdt,drives
duizend,thousand
wow,wow
prins,Prince
antwoorden,answers
raakte,hit
tekenen,to draw
vieren,to celebrate
perfecte,perfect
zorgt,cares
behoorlijk,fairly
majesteit,majesty
luistert,listens
waarover,about what
nadenken,think it over
volgt,follows
neef,cousin
gestoord,disturbed
vertaald,translated
mijnheer,Sir
gewone,ordinary
taak,task
Londen,London
aanvallen,to attack
opa,grandpa
rook,smoke
geweten,known
trouw,fidelity
signaal,signal
kussen,to kiss
ouder,older
dankzij,thanks to
lach,smile
sporen,tracks
jas,jacket
godverdomme,Goddamnit
ster,star
sloeg,hit
verschrikkelijk,terrible
vlug,quickly
tegenhouden,to prevent
wonder,miracle
toegang,access
afdeling,department
pad,path
besloten,decided
vorm,form
uren,hours
stopt,stops
medicijnen,medicines
bek,beak
majoor,major
gekozen,chosen
beveiliging,security
ah,Ah
fijne,nice
controleren,check
onschuldig,innocent
dossier,file
boel,bunch
durf,dare
maan,Moon
post,post
auto's,cars
betreft,Re
leeftijd,age
toevallig,chance
bos,bunch
waarin,in which
ineens,suddenly
overleden,dead
Clark,Clark
kosten,cost
gemeen,mean
landen,to land
enorm,enormous
sommigen,some
opeens,suddenly
senator,senator
gedoe,hassle
enorme,huge
bloemen,flowers
steen,stone
opzij,aside
openen,to open
tanden,teeth
hersenen,brain
getuigen,to give evidence
