Dutch,Translation
ongelofelijk,unbelievable
video,video
Adam,Adam
kregen,got
bevalt,pleases
hiervan,of this
vriendelijk,friendly
bereikt,reaches
Vegas,Vegas
Victor,Victor
jagen,to hunt
wit,white
heus,real
neen,no
bieden,offer
vrijdag,Friday
theorie,theory
genaamd,called
melk,milk
uwe,yours
dankbaar,satisfying
vluchten,to flee
paarden,horses
sterf,die
blind,blind
vorig,last
koffer,Suitcase
vasthouden,to cling
carrière,career
vliegveld,airport
waardeer,appreciate
verloor,lost
goden,gods
manieren,ways
normale,normal
geheimen,secrets
reizen,to travel
hoger,higher
schoonheid,beauty
straf,punishment
iedereen,everyone
minister,minister
eng,scary
yeah,yeah
verkoop,sale
berg,mountain
hoed,hat
Alice,Alice
klant,customer
vergadering,meeting
sterren,stars
papier,paper
gezelschap,company
jouwe,yours
koers,course
doorheen,through
kilo,kilos
stukken,pieces
volle,full
storm,storm
harde,tough
data,dates
black,black
beslist,specifically
vloer,floor
geheugen,memory
reken,calculate
liedje,song
blijkt,turns out
contract,contract
eigenaar,owner
verdiend,earned
ernstig,serious
bende,gang
pers,press
gozer,guy
lid,member
hiervoor,for this
uitgenodigd,invited
blauw,blue
taart,cake
steun,support
moeders,mothers
stilte,Silence
toeval,chance
cent,cents
gevangene,prisoner
verliest,loses
eenheid,unit
roepen,call
wiens,whose
dader,perpetrator
aannemen,contract
talent,talent
herinnert,remembers
hemelsnaam,heaven's sake
vandoor,away
ondertiteling,subtitles
borst,chest
you,you
koken,to cook
westen,West
lenen,to borrow
dans,dance
aandoen,to affect
omgeving,environment
miljoenen,millions
vergissing,mistake
schepen,ships
gezond,healthy
ren,run
bijvoorbeeld,for example
tegenover,opposite
verstopt,constipated
korte,short
vreselijke,terrible
Chicago,Chicago
klus,job
graden,degrees
sterke,strong
groene,green
jazeker,"Yes, of course"
beslissen,to decide
zuiden,south
lord,Lord
gaande,going on
verdieping,floor
magie,magic
erom,about it
snelheid,speed
voren,forward
kunst,art
kelder,cellar
redt,saves
arresteren,to arrest
gewacht,waited
kwestie,matter
bidden,to pray
beelden,images
niveau,level
hartelijk,heartfelt
geduld,patience
gespeeld,played
schattig,cute
nauwelijks,hardly
pond,lb
bepaald,certain
King,King
ruim,roomy
leerde,learned
duur,duration
nogmaals,once more
tuin,garden
zaterdag,Saturday
ondanks,Despite
wijs,show
behandelen,to deal with
yo,yo
ruik,smell
gebouwd,built
liefste,Dear
bergen,to put away
aankomen,arrive
gave,gift
pakt,takes
ideeën,ideas
ontvoerd,kidnapped
verzoek,request
kast,closet
Sean,Sean
geesten,ghosts
orders,orders
droeg,wore
leugen,lie
hielp,helped
kerstmis,Christmas
gelul,bullshit
gedeelte,part
mevr.,Mrs.
ontmoette,met
edelachtbare,your honor
flat,flat
tong,tongue
logisch,logically
daardoor,because of that
controleer,check
stroom,current
afscheid,parting
gevangenen,prisoners
saai,boring
Marcus,Marcus
militaire,military
opgewonden,excited
makkelijker,easier
zuid,south
stenen,stones
lieg,lie
wc,WC
herinneringen,memories
badkamer,bathroom
vuren,fire
fuck,fuck
cadeau,gift
dertig,thirty
verantwoordelijkheid,responsibility
flink,considerable
biertje,beer
officieel,officially
tegenwoordig,nowadays
belang,interest
ronde,round
redenen,reasons
opgeven,to report
Frankrijk,France
schreeuwen,shout
eenvoudig,simple
gekeken,looked
kerst,Christmas
aanraken,to touch
genieten,to enjoy
ontslag,dismissal
verslagen,defeated
opgesloten,locked up
groen,green
heette,was called
graf,grave
bond,bond
high,high
stand,stand
aardige,nice ones
raden,councils
vinger,finger
bomen,trees
helikopter,helicopter
manager,manager
vrolijk,cheerful
Dean,Dean
zicht,view
slaapkamer,bedroom
verbrand,burned
rekenen,calculate
kust,coast
race,race
leraar,teacher
zonde,shame
stof,dust
pot,pot
eieren,Eggs
verdedigen,to defend
kanker,cancer
