,Dutch,POS,Translation
2000,wellicht,Adverb,perhaps
2001,gedronken,Verb,drunk
2002,daarheen,Adverb,over there
2003,herken,Noun,to recognise
2004,gas,Noun,gas
2005,knieën,Noun,knees
2006,ontdekken,Verb,to discover
2007,bedoeld,Verb,meant
2008,verbonden,Verb,connected
2009,smaak,Noun,taste
2010,job,Pronoun,Job
2011,reactie,Noun,response
2012,bescherming,Noun,protection
2013,bevelen,Verb,command
2014,vervangen,Verb,to replace
2015,huh,Verb,huh
2016,tellen,Verb,to count
2017,mogelijkheid,Noun,possibility
2018,moeilijke,Adjective,difficult
2019,Nathan,Proper noun,Nathan
2020,achterlaten,Verb,leave behind
2021,voorstel,Noun,proposal
2022,afspraakje,Noun,date
2023,Angeles,Proper noun,Angeles
2024,vlieg,Verb,fly
2025,dekking,Noun,coverage
2026,wed,Numeral,wed
2027,ho,Interjection,whoa
2028,pillen,Noun,pills
2029,Europa,Proper noun,Europe
2030,wetenschap,Noun,science
2031,naakt,Adjective,naked
2032,pauze,Noun,pause
2033,vrees,Noun,fear
2034,schrijft,Verb,writes
2035,waarde,Noun,value
2036,priester,Noun,priest
2037,natuur,Noun,nature
2038,pik,Adjective,cock
2039,binnenkomen,Verb,enter
2040,detective,Symbol,detective
2041,gerust,Adjective,rest assured
2042,maandag,Proper noun,Monday
2043,volledige,Adjective,sufficient
2044,beer,Noun,bear
2045,meerdere,Pronoun,multiple
2046,heks,Proper noun,witch
2047,assistent,Noun,assistant
2048,eeuw,Noun,century
2049,toegeven,Verb,to give in
2050,spring,Noun,jump
2051,verhuizen,Verb,to move house
2052,vermoordde,Verb,murdered
2053,verstoppen,Noun,to hide
2054,brood,Noun,bread
2055,bemanning,Noun,crew
2056,troepen,Noun,troops
2057,zwijg,Adverb,be silent
2058,zondag,Proper noun,Sunday
2059,dienen,Verb,serve
2060,Rose,Symbol,Rose
2061,Roger,Proper noun,Roger
2062,opgenomen,Verb,included
2063,oosten,Noun,East
2064,gescheiden,Verb,divorced
2065,plus,Adverb,plus
2066,ademen,Verb,to breathe
2067,aanbod,Noun,offer
2068,wensen,Verb,wishes
2069,doei,Noun,bye
2070,gekend,Verb,known
2071,aanbieden,Verb,to offer
2072,politiek,Noun,politics
2073,Russische,Adjective,Russian
2074,Morgan,Proper noun,Morgan
2075,genade,Noun,grace
2076,gewend,Adjective,accustomed
2077,internet,Noun,internet
2078,buren,Noun,neighbors
2079,opgelost,Verb,dissolved
2080,pizza,Verb,Pizza
2081,dek,Symbol,deck
2082,grijp,Noun,grab
2083,eenzaam,Adjective,lonely
2084,vervelend,Adjective,annoying
2085,leugens,Adjective,lies
2086,erheen,Adjective,there
2087,keizer,Noun,Emperor
2088,verslag,Noun,report
2089,wild,Adjective,wild
2090,telt,Verb,counts
2091,nachtmerrie,Noun,nightmare
2092,horloge,Noun,watch
2093,staten,Noun,states
2094,bewerkt,Verb,edited
2095,vals,Adverb,false
2096,bezoeken,Verb,visits
2097,leert,Verb,learns
2098,min,Adverb,min
2099,seconde,Noun,second
2100,aanwezig,Adjective,present
2101,interesseert,Verb,interests
2102,meent,Verb,believes
2103,streek,Noun,region
2104,beweegt,Verb,moves
2105,feiten,Noun,facts
2106,burgers,Noun,citizens
2107,waarheen,Adverb,where to
2108,hierin,Adverb,in here
2109,interesse,Noun,interest
2110,eindigen,Verb,end
2111,patiënten,Noun,patients
2112,schrikken,Verb,to startle
2113,buik,Noun,belly
2114,stront,Verb,shit
2115,regen,Noun,rain
2116,technologie,Noun,technology
2117,rechten,Noun,rights
2118,muren,Noun,walls
2119,chauffeur,Noun,driver
2120,noord,Noun,north
2121,garage,Noun,garage
2122,netjes,Adjective,correctly
2123,terrein,Noun,terrain
2124,lekkere,Adjective,tasty
2125,olie,Noun,oil
2126,klap,Noun,clap
2127,date,Adjective,date
2128,graven,Verb,to dig
2129,nationale,Adjective,national
2130,voorbeeld,Noun,example
2131,besluit,Noun,decision
2132,hang,Noun,hang
2133,herhaal,Noun,repeat
2134,champagne,Noun,Champagne
2135,oceaan,Conjunction,ocean
2136,geur,Noun,odor
2137,zelfde,Adjective,same
2138,groeten,Verb,regards
2139,verandering,Noun,change
2140,ruiken,Verb,to smell
2141,vierde,Adjective,fourth
2142,waarschuwen,Verb,warn
2143,verdien,Verb,earn
2144,bord,Noun,plate
2145,ambulance,Symbol,ambulance
2146,neerschieten,Verb,shoot down
2147,spiegel,Noun,mirror
2148,hersens,Noun,brains
2149,momenteel,Adjective,currently
2150,dubbele,Adjective,double
2151,omstandigheden,Noun,circumstances
2152,melden,Verb,report
2153,sync,Symbol,sync
