,Unnamed: 0,Dutch,POS,Translation,ChatGPT_Sentence
0,1000,eind,Noun,end,"Ik betaal met mijn benen aan het eind van de dag.
I pay with my legs at the end of the day."
1,1001,deden,Verb,did,"De zuster sloeg de bal en wij deden mee.

The sister hit the ball and we joined in."
2,1002,mijne,Pronoun,mine,"Ik betaal voor de muur met mijne.

I pay for the wall with mine."
3,1003,gooi,Noun,throw,"Ik heb dit weekend een goede gooi verdiend.

I earned a good throw this weekend."
4,1004,gast,Noun,guest,"De gast heeft een bom gehaald.
The guest has fetched a bomb."
5,1005,zul,Auxiliary,will,"Helaas zul je het geheime boek niet vinden.

Unfortunately, you will not find the secret book."
6,1006,muur,Noun,wall,"De club heeft een mooie muur die je kunt bezoeken.
The club has a beautiful wall that you can visit."
7,1007,dode,Adjective,dead,"De klok slaat geregeld de dode uren.

The clock regularly strikes the dead hours."
8,1008,gewerkt,Verb,worked,"Ik heb hard gewerkt aan de slag, ma.
I worked hard on the job, mom."
9,1009,kende,Verb,knew,"Hij kende de man die ontslagen was en altijd op blote voeten liep.
He knew the man who was fired and always walked barefoot."
10,1010,ma,Pronoun,Mon,"De brug is hoog, maar ma zit op de stoel.

The bridge is high, but mom is sitting on the chair."
11,1011,brand,Noun,fire,"De brand heeft veel schade aangericht, en de zwangere vrouw is gestorven.

The fire caused a lot of damage, and the pregnant woman has died."
12,1012,sluit,Verb,close,"De wedstrijd eindigt in een slag, en de scheidsrechter sluit het spel voor beiden.  
The match ends in a hit, and the referee closes the game for both."
13,1013,zon,Noun,Sun,"De zon helpt ons overleven, belt de dokter.

The sun helps us survive, call the doctor."
14,1014,diep,Adjective,deep,"De belt is diep in de draai.

The belt is deep in the turn."
15,1015,arme,Adjective,poor,"Koop iets voor de arme man.

Buy something for the poor man."
16,1016,bureau,Noun,desk,"Hij bracht zijn voeten op het bureau.  
He put his feet on the desk."
17,1017,partner,Noun,partner,"Mijn partner hoeft in dit geval niet te vallen.
My partner does not need to fall in this case."
18,1018,zeiden,Verb,said,"Zeiden ze dat ze zwanger was, maar het bleek eraf te zijn.
They said that she was pregnant, but it turned out to be false."
19,1019,boord,Noun,board,"Het paard heeft haast en loopt langs de boord van de weg.
The horse is in a hurry and walks along the edge of the road."
20,1020,deal,Determiner,deal,"We vonden een deal voor de drink.  
We found a deal for the drink."
21,1021,leggen,Verb,to lay,"De held legt zijn zwaard neer en zegt welterusten.
The hero lays down his sword and says goodnight."
22,1022,bom,Noun,bomb,"De bom die neergeschoten is, ligt op de grond.
The bomb that was shot down is lying on the ground."
23,1023,rijk,Adjective,rich,"Hij liegt in godsnaam niet, hij is rijk.

He does not lie in God's name, he is rich."
24,1024,meiden,Noun,girls,"Welterusten meiden, ik hoop dat jullie morgen ijs krijgen.

Goodnight girls, I hope you get ice cream tomorrow."
25,1025,held,Noun,hero,"De held bleef kalm en bracht de boodschap over.  
The hero remained calm and delivered the message."
26,1026,klote,Noun,shit,"Hij verdient een klote voor zijn vreemde werk.
He earns a lousy pay for his strange job."
27,1027,spreekt,Verb,speaks,"Hij spreekt verschillende talen met 90 procent nauwkeurigheid.
He speaks different languages with 90 percent accuracy."
28,1028,vijand,Noun,enemy,"De club heeft een nieuwe vijand gezet.
The club has set a new enemy."
29,1029,schoenen,Noun,shoes,"De zon maakt het lastig om mijn schoenen te vinden.
The sun makes it difficult to find my shoes."
30,1030,gewonnen,Verb,won,"Hij heeft de wedstrijd gewonnen op het spoor in het donker.
He won the race on the track in the dark."
31,1031,gebied,Noun,area,"Het testgebied veroorzaakte een ruzie.

The test area caused an argument."
32,1032,operatie,Noun,operation,"De vreemde man moest een operatie ondergaan en mocht niets drinken.  
The strange man had to undergo an operation and was not allowed to drink anything."
33,1033,volk,Noun,people,"De koning liegt tegen het volk over de ontslagen.

The king lies to the people about the layoffs."
34,1034,bewegen,Verb,to move,"De bom waarop we stonden begon te bewegen.
The bomb we were standing on started to move."
35,1035,keek,Verb,watched,"Hij keek naar de man die gestopt was en liegt.

He looked at the man who had stopped and is lying."
36,1036,speel,Adjective,play,"Het systeem heeft een speel zwart scherm.  
The system has a playful black screen."
37,1037,zuster,Noun,sister,"Ik kende mijn zuster al een tijdje.
I knew my sister for a while."
38,1038,gelezen,Verb,read,"De knul heeft een boek gelezen terwijl hij zijn been rustte.
The boy read a book while he rested his leg."
39,1039,achteruit,Adverb,backwards,"Het lot bestaat soms uit stappen achteruit.  
Fate sometimes consists of steps backward."
40,1040,trein,Noun,train,"De trein reed langs het park waar het slachtoffer lag.
The train passed by the park where the victim was lying."
41,1041,extra,Adjective,additional,"Ik kreeg een extra lot in de deal.
I got an extra ticket in the deal."
42,1042,lijk,Noun,corpse,"De benen van het lijk zijn persoonlijk herkenbaar.

The legs of the corpse are personally recognizable."
43,1043,bereiken,Verb,reaches,"Ik betaal om de lift te bereiken.
I pay to reach the elevator."
44,1044,zee,Noun,sea,"De man heeft haast om naar de zee te gaan.
The man is in a hurry to go to the sea."
45,1045,cool,Noun,cool,"Ik wil de cool meenemen naar de diep vriezer.
I want to take the cool to the deep freezer."
46,1046,broek,Noun,pair of trousers,"Hij bleef liegen over zijn nieuwe broek.
He kept lying about his new pants."
47,1047,aanval,Noun,attack,"De captain leidde het gevecht na de aanval.  
The captain led the fight after the attack."
48,1048,neus,Noun,nose,"De man in de bus liegt over zijn neus.
The man in the bus is lying about his nose."
49,1049,oma,Noun,Grandma,"Mijn partner heeft oma van het station gepakt.
My partner picked up grandma from the station."
50,1050,systeem,Noun,system,"Het systeem gaf vannacht een fout van tien procent.
The system gave an error of ten percent last night."
51,1051,kalm,Adjective,calm,"De kalm man vroeg ons om op te schieten omdat er een brand was.  
The calm man asked us to hurry because there was a fire."
52,1052,code,Noun,code,"Ik zal de code meenemen voor ons bezoek.
I will bring the code for our visit."
53,1053,sergeant,Noun,sergeant,"Ach, de sergeant zeiden dat we moesten wachten.  
Oh, the sergeant said that we had to wait."
54,1054,hoog,Adjective,high,"De vogel moest hoog vliegen om te overleven en te ontsnappen.

The bird had to fly high to survive and escape."
55,1055,draai,Noun,play,"De draai van de storm kan alles vernietigen, welterusten.

The turn of the storm can destroy everything, goodnight."
56,1056,slachtoffer,Noun,victim,"De kennis maakte een belachelijke opmerking over het slachtoffer.
The acquaintance made a ridiculous comment about the victim."
57,1057,les,Noun,lesson,"De les begon toen het al donker was en ik had een lot te vervullen.

The lesson began when it was already dark, and I had a fate to fulfill."
58,1058,uiteindelijk,Adjective,finally,"Uiteindelijk heb ik het boek gelezen terwijl ik ijs at.
Ultimately, I read the book while eating ice cream."
59,1059,verdwenen,Verb,disappeared,"De kennis van de knul is verdwenen.  
The knowledge of the boy has disappeared."
60,1060,eiland,Noun,Island,"De kapitein vond een lijk op het eiland.
The captain found a corpse on the island."
61,1061,geschreven,Verb,written,"Ik sluit het raam omdat ik een brief heb geschreven.
I close the window because I have written a letter."
62,1062,gewond,Adjective,injured,"De gewonde man vond een gesloten brief.  
The injured man found a closed letter."
63,1063,plannen,Noun,plan,"Hij maakte nieuwe plannen nadat hij ontslagen was en in zijn stoel zat.

He made new plans after he was fired and sat in his chair."
64,1064,spul,Proper noun,stuff,"Spul is helaas niet rechts.

Spul is unfortunately not right."
65,1065,uitleggen,Noun,to explain,"De uitleggen over hoe je je voeten moet verzorgen, werd uit de kast gehaald.

The explanations on how to take care of your feet were taken out of the cupboard."
66,1066,haast,Adverb,hast,"Ik heb haast moeite met het nieuwe systeem.
I am having trouble with the new system in a hurry."
67,1067,liegen,Noun,to lie,"De leugen werd lang verborgen gehouden op het spoor.
The lie was kept hidden for a long time on the track."
68,1068,la,Symbol,la,"Het is kwalijk om te liegen, la.
It is bad to lie, right?"
69,1069,vertaling,Noun,translation,"Ik heb de vertaling gelezen, maar het is kwalijk.
I have read the translation, but it is poor."
70,1070,beloofd,Verb,promised,"Ik heb je rijkdom en diepe vreugde beloofd.
I promised you wealth and deep joy."
71,1071,rode,Adjective,red,"De held heeft rode voeten.
The hero has red feet."
72,1072,bracht,Verb,brought,"De man bracht de verdwenen kat dichtbij.

The man brought the missing cat close."
