,Unnamed: 0,Dutch,POS,Translation,ChatGPT_Sentence
0,1750,ongelofelijk,Adjective,unbelievable,"De ongelofelijke hoed ligt op de vloer.
The incredible hat is lying on the floor."
1,1751,video,Noun,video,"De video over kunst heeft veel mensen bereikt.
The video about art has reached many people."
2,1752,Adam,Proper noun,Adam,"Adam is vrolijk en draagt een bond jas.
Adam is happy and wears a fur coat."
3,1753,kregen,Verb,got,"Jullie kregen het gevoel dat jullie opgesloten waren.

You got the feeling that you were locked up."
4,1754,bevalt,Verb,pleases,"Het afscheid bevalt me niet, het jaagt me angst aan.
The farewell does not please me, it scares me."
5,1755,hiervan,Adverb,of this,"De stilte, wiens oorsprong onbekend is, was hiervan het gevolg.
The silence, whose origin is unknown, was the result of this."
6,1756,vriendelijk,Adjective,friendly,"De vriendelijke man wees ons naar het juiste gedeelte.
The friendly man pointed us to the right section."
7,1757,bereikt,Verb,reaches,"Hij bereikt zijn doel door te bidden tijdens kerst.
He achieves his goal by praying during Christmas."
8,1758,Vegas,Noun,Vegas,"Ik kreeg een straf na de eerste ronde in Vegas.
I got a penalty after the first round in Vegas."
9,1759,Victor,Proper noun,Victor,"Victor is uitgenodigd voor het ontslaggesprek.
Victor is invited for the dismissal meeting."
10,1760,jagen,Verb,to hunt,"De mannen roepen terwijl ze op de gevangenen jagen.
The men shout while they hunt the prisoners."
11,1761,wit,Adjective,white,"De witte stenen zijn zwaar.

The white stones are heavy."
12,1762,heus,Adjective,real,"De heus sterke man heeft een ruim huis.  
The genuine strong man has a spacious house."
13,1763,neen,Interjection,no,"Neen, ik reken en roepen is nu niet mogelijk.
No, I am calculating and calling is not possible now."
14,1764,bieden,Verb,offer,"Ik kan je raden welke video ik zal bieden.
I can guess which video I will offer."
15,1765,vrijdag,Proper noun,Friday,"Vrijdag is de dag waarop we eenheid vieren met een warme borst.

Friday is the day on which we celebrate unity with a warm chest."
16,1766,theorie,Noun,theory,"De theorie maakt het makkelijker om de bergen te begrijpen.
The theory makes it easier to understand the mountains."
17,1767,genaamd,Adjective,called,"De jongen genaamd Tom speelde een spel en verloor.  
The boy named Tom played a game and lost."
18,1768,melk,Noun,milk,"De melk is duur in de supermarkt na de vuren.  
The milk is expensive in the supermarket after the fires."
19,1769,uwe,Adjective,yours,"Uw gedeelte is fucked.  
Your part is fucked."
20,1770,dankbaar,Adjective,satisfying,"Ik ben dankbaar dat ik mijn hoed kan vasthouden.

I am grateful that I can hold my hat."
21,1771,vluchten,Verb,to flee,"Ik ontmoette hem en we moesten erom vluchten.  
I met him and we had to flee because of it."
22,1772,paarden,Noun,horses,"De gevangenen zagen de paarden in het andere gedeelte van de boerderij.
The prisoners saw the horses in the other part of the farm."
23,1773,sterf,Noun,die,"De schoonheid van de sterf is iets wat je niet kunt aanraken.
The beauty of death is something you cannot touch."
24,1774,blind,Adjective,blind,"Adam heeft een blinde hond.  
Adam has a blind dog."
25,1775,vorig,Adjective,last,"Vorig jaar had ik de verantwoordelijkheid om tien kilo appels te kopen.
Last year, I had the responsibility to buy ten kilos of apples."
26,1776,koffer,Noun,Suitcase,"De koffer van King is verloren, wat een zonde.
The suitcase of King is lost, what a shame."
27,1777,vasthouden,Verb,to cling,"Ik houd de deur vast terwijl ik doorheen de ruime kamer loop.
I hold the door while I walk through the spacious room."
28,1778,carrière,Noun,career,"Ik werk in de tuin aan mijn carrière, yeah.
I work in the garden on my career, yeah."
29,1779,vliegveld,Noun,airport,"Ik ga naar het vliegveld om mijn data naar voren te brengen.
I am going to the airport to bring my data forward."
30,1780,waardeer,Verb,appreciate,"Ik waardeer het als je mijn straf controleert.
I appreciate it if you check my punishment."
31,1781,verloor,Verb,lost,"Ik verloor de sterren die ik wilde aannemen.
I lost the stars that I wanted to hire."
32,1782,goden,Noun,gods,"De jagers hebben gewacht op de goden.

The hunters have waited for the gods."
33,1783,manieren,Verb,ways,"De mensen manieren steun aan de vluchtelingen.

The people offer support to the refugees."
34,1784,normale,Adjective,normal,"De normale man ging vandoor voordat hij stierf.
The normal man took off before he died."
35,1785,geheimen,Verb,secrets,"In Dutch, the word 'geheimen' is typically used as a noun meaning 'secrets' and not as a verb. However, I can create a sentence using 'geheimen' as a noun along with the words 'geesten"
36,1786,reizen,Verb,to travel,"Ik reis met mijn vinger op de kaart, maar ik zeg neen tegen echte reizen.
I travel with my finger on the map, but I say no to real travels."
37,1787,hoger,Adjective,higher,"De normale data laten zien dat de prijzen hoger zijn.  
The normal data show that the prices are higher."
38,1788,schoonheid,Noun,beauty,"De hartelijke boodschap benadrukte de schoonheid van de opgesloten tuin.

The heartfelt message emphasized the beauty of the enclosed garden."
39,1789,straf,Noun,punishment,"De straf voor het gooien van eieren op de zwarte auto was streng.
The punishment for throwing eggs at the black car was severe."
40,1790,iedereen,Pronoun,everyone,"Iedereen heeft het doel bereikt dat we vorig jaar hebben gesteld.
Everyone has reached the goal that we set last year."
41,1791,minister,Noun,minister,"De minister presenteerde zijn ideeën tijdens de ronde tafelbespreking.
The minister presented his ideas during the round table discussion."
42,1792,eng,Adjective,scary,"De enge baas roept om ontslag.  
The scary boss calls for dismissal."
43,1793,yeah,Symbol,yeah,"Yeah, de sterren zijn ernstig mooi.  
Yeah, the stars are seriously beautiful."
44,1794,verkoop,Noun,sale,"De verkoop van de ernstig verbrandde goederen is geannuleerd.
The sale of the severely burned goods has been canceled."
45,1795,berg,Noun,mountain,"De aardige man wandelt op de groene berg.
The kind man walks on the green mountain."
46,1796,hoed,Noun,hat,"De man met de hoed kreeg ontslag omdat hij de orders niet volgde.
The man with the hat was fired because he did not follow the orders."
47,1797,Alice,Proper noun,Alice,"Alice wacht op de stroom bij het vliegveld.
Alice waits for the power at the airport."
48,1798,klant,Noun,customer,"De klant vond het saai hiervan te horen.
The customer found it boring to hear about this."
49,1799,vergadering,Noun,meeting,"De vergadering was een zonde vanwege de slechte redenen.

The meeting was a shame because of the bad reasons."
50,1800,sterren,Noun,stars,"De sterren schijnen helder boven de bomen terwijl we buiten koken.
The stars shine brightly above the trees while we cook outside."
51,1801,papier,Noun,paper,"Mevr. bidden voor papier.
Mrs. prays for paper."
52,1802,gezelschap,Noun,company,"We kijken bijvoorbeeld een film met ondertiteling in goed gezelschap.
We are watching a movie with subtitles in good company, for example."
53,1803,jouwe,Adjective,yours,"Jouwe gelul over data is onzin.
Your nonsense about data is nonsense."
54,1804,koers,Noun,course,"De koers van de flat is belangrijk voor moeders.
The value of the apartment is important for mothers."
55,1805,doorheen,Preposition,through,"Ik loop doorheen mijn herinneringen met een aardige glimlach.
I walk through my memories with a kind smile."
56,1806,kilo,Noun,kilos,"Hij redt een kilo eieren.

He saves a kilo of eggs."
57,1807,stukken,Noun,pieces,"De politie moest King arresteren omdat hij stukken had gestolen.
The police had to arrest King because he had stolen pieces."
58,1808,volle,Adjective,full,"De man droeg een volle mand met gezond fruit.
The man carried a full basket of healthy fruit."
59,1809,storm,Noun,storm,"De storm was eng en brak stukken van het dak.

The storm was scary and broke pieces of the roof."
60,1810,harde,Adjective,tough,"Marcus heeft miljoenen harde stenen.  
Marcus has millions of hard stones."
