,Dutch,POS,Translation
1750,ongelofelijk,Adjective,unbelievable
1751,video,Noun,video
1752,Adam,Proper noun,Adam
1753,kregen,Verb,got
1754,bevalt,Verb,pleases
1755,hiervan,Adverb,of this
1756,vriendelijk,Adjective,friendly
1757,bereikt,Verb,reaches
1758,Vegas,Noun,Vegas
1759,Victor,Proper noun,Victor
1760,jagen,Verb,to hunt
1761,wit,Adjective,white
1762,heus,Adjective,real
1763,neen,Interjection,no
1764,bieden,Verb,offer
1765,vrijdag,Proper noun,Friday
1766,theorie,Noun,theory
1767,genaamd,Adjective,called
1768,melk,Noun,milk
1769,uwe,Adjective,yours
1770,dankbaar,Adjective,satisfying
1771,vluchten,Verb,to flee
1772,paarden,Noun,horses
1773,sterf,Noun,die
1774,blind,Adjective,blind
1775,vorig,Adjective,last
1776,koffer,Noun,Suitcase
1777,vasthouden,Verb,to cling
1778,carrière,Noun,career
1779,vliegveld,Noun,airport
1780,waardeer,Verb,appreciate
1781,verloor,Verb,lost
1782,goden,Noun,gods
1783,manieren,Verb,ways
1784,normale,Adjective,normal
1785,geheimen,Verb,secrets
1786,reizen,Verb,to travel
1787,hoger,Adjective,higher
1788,schoonheid,Noun,beauty
1789,straf,Noun,punishment
1790,iedereen,Pronoun,everyone
1791,minister,Noun,minister
1792,eng,Adjective,scary
1793,yeah,Symbol,yeah
1794,verkoop,Noun,sale
1795,berg,Noun,mountain
1796,hoed,Noun,hat
1797,Alice,Proper noun,Alice
1798,klant,Noun,customer
1799,vergadering,Noun,meeting
1800,sterren,Noun,stars
1801,papier,Noun,paper
1802,gezelschap,Noun,company
1803,jouwe,Adjective,yours
1804,koers,Noun,course
1805,doorheen,Preposition,through
1806,kilo,Noun,kilos
1807,stukken,Noun,pieces
1808,volle,Adjective,full
1809,storm,Noun,storm
1810,harde,Adjective,tough
1811,data,Noun,dates
1812,black,Symbol,black
1813,beslist,Verb,specifically
1814,vloer,Noun,floor
1815,geheugen,Noun,memory
1816,reken,Noun,calculate
1817,liedje,Noun,song
1818,blijkt,Verb,turns out
1819,contract,Noun,contract
1820,eigenaar,Noun,owner
1821,verdiend,Verb,earned
1822,ernstig,Adjective,serious
1823,bende,Noun,gang
1824,pers,Noun,press
1825,gozer,Noun,guy
1826,lid,Noun,member
1827,hiervoor,Adverb,for this
1828,uitgenodigd,Verb,invited
1829,blauw,Adjective,blue
1830,taart,Symbol,cake
1831,steun,Noun,support
1832,moeders,Noun,mothers
1833,stilte,Noun,Silence
1834,toeval,Noun,chance
1835,cent,Noun,cents
1836,gevangene,Verb,prisoner
1837,verliest,Verb,loses
1838,eenheid,Noun,unit
1839,roepen,Verb,call
1840,wiens,Determiner,whose
1841,dader,Noun,perpetrator
1842,aannemen,Verb,contract
1843,talent,Noun,talent
1844,herinnert,Verb,remembers
1845,hemelsnaam,Noun,heaven's sake
1846,vandoor,Preposition,away
1847,ondertiteling,Noun,subtitles
1848,borst,Noun,chest
1849,you,Symbol,you
1850,koken,Verb,to cook
1851,westen,Noun,West
1852,lenen,Verb,to borrow
1853,dans,Noun,dance
1854,aandoen,Verb,to affect
1855,omgeving,Noun,environment
1856,miljoenen,Noun,millions
1857,vergissing,Noun,mistake
1858,schepen,Noun,ships
1859,gezond,Adjective,healthy
1860,ren,Noun,run
1861,bijvoorbeeld,Adverb,for example
1862,tegenover,Preposition,opposite
1863,verstopt,Verb,constipated
1864,korte,Adjective,short
1865,vreselijke,Adjective,terrible
1866,Chicago,Proper noun,Chicago
1867,klus,Symbol,job
1868,graden,Noun,degrees
1869,sterke,Adjective,strong
1870,groene,Adjective,green
1871,jazeker,Interjection,"Yes, of course"
1872,beslissen,Verb,to decide
1873,zuiden,Noun,south
1874,lord,Noun,Lord
1875,gaande,Verb,going on
1876,verdieping,Noun,floor
1877,magie,Noun,magic
1878,erom,Adverb,about it
1879,snelheid,Noun,speed
1880,voren,Adverb,forward
1881,kunst,Noun,art
1882,kelder,Noun,cellar
1883,redt,Verb,saves
1884,arresteren,Verb,to arrest
1885,gewacht,Verb,waited
1886,kwestie,Noun,matter
1887,bidden,Verb,to pray
1888,beelden,Noun,images
1889,niveau,Noun,level
1890,hartelijk,Adjective,heartfelt
1891,geduld,Noun,patience
1892,gespeeld,Verb,played
1893,schattig,Adjective,cute
1894,nauwelijks,Adverb,hardly
1895,pond,Noun,lb
1896,bepaald,Verb,certain
1897,King,Noun,King
1898,ruim,Adjective,roomy
1899,leerde,Verb,learned
1900,duur,Noun,duration
1901,nogmaals,Adverb,once more
1902,tuin,Noun,garden
1903,zaterdag,Proper noun,Saturday
1904,ondanks,Preposition,Despite
1905,wijs,Adjective,show
1906,behandelen,Verb,to deal with
1907,yo,Symbol,yo
1908,ruik,Noun,smell
1909,gebouwd,Verb,built
1910,liefste,Adjective,Dear
1911,bergen,Verb,to put away
1912,aankomen,Verb,arrive
1913,gave,Adjective,gift
1914,pakt,Verb,takes
1915,ideeën,Noun,ideas
1916,ontvoerd,Verb,kidnapped
1917,verzoek,Noun,request
1918,kast,Noun,closet
1919,Sean,Proper noun,Sean
1920,geesten,Noun,ghosts
1921,orders,Noun,orders
1922,droeg,Verb,wore
1923,leugen,Noun,lie
1924,hielp,Verb,helped
1925,kerstmis,Noun,Christmas
1926,gelul,Noun,bullshit
1927,gedeelte,Noun,part
1928,mevr.,Proper noun,Mrs.
1929,ontmoette,Verb,met
1930,edelachtbare,Adjective,your honor
1931,flat,Noun,flat
1932,tong,Noun,tongue
1933,logisch,Adjective,logically
1934,daardoor,Adverb,because of that
1935,controleer,Noun,check
1936,stroom,Noun,current
1937,afscheid,Noun,parting
1938,gevangenen,Verb,prisoners
1939,saai,Adjective,boring
1940,Marcus,Proper noun,Marcus
1941,militaire,Adjective,military
1942,opgewonden,Adjective,excited
1943,makkelijker,Adjective,easier
1944,zuid,Adjective,south
1945,stenen,Noun,stones
1946,lieg,Noun,lie
1947,wc,Pronoun,WC
1948,herinneringen,Noun,memories
1949,badkamer,Noun,bathroom
1950,vuren,Verb,fire
1951,fuck,Verb,fuck
1952,cadeau,Noun,gift
1953,dertig,Numeral,thirty
1954,verantwoordelijkheid,Noun,responsibility
1955,flink,Adjective,considerable
1956,biertje,Noun,beer
1957,officieel,Adjective,officially
1958,tegenwoordig,Adjective,nowadays
1959,belang,Noun,interest
1960,ronde,Noun,round
1961,redenen,Noun,reasons
1962,opgeven,Verb,to report
1963,Frankrijk,Proper noun,France
1964,schreeuwen,Verb,shout
1965,eenvoudig,Adjective,simple
1966,gekeken,Verb,looked
1967,kerst,Noun,Christmas
1968,aanraken,Verb,to touch
1969,genieten,Verb,to enjoy
1970,ontslag,Noun,dismissal
1971,verslagen,Verb,defeated
1972,opgesloten,Verb,locked up
1973,groen,Adjective,green
1974,heette,Verb,was called
1975,graf,Noun,grave
1976,bond,Noun,bond
1977,high,Proper noun,high
1978,stand,Noun,stand
1979,aardige,Adjective,nice ones
1980,raden,Verb,councils
1981,vinger,Noun,finger
1982,bomen,Noun,trees
1983,helikopter,Noun,helicopter
1984,manager,Noun,manager
1985,vrolijk,Adjective,cheerful
1986,Dean,Proper noun,Dean
1987,zicht,Noun,view
1988,slaapkamer,Noun,bedroom
1989,verbrand,Verb,burned
1990,rekenen,Verb,calculate
1991,kust,Noun,coast
1992,race,Noun,race
1993,leraar,Noun,teacher
1994,zonde,Noun,shame
1995,stof,Noun,dust
1996,pot,Noun,pot
1997,eieren,Noun,Eggs
1998,verdedigen,Noun,to defend
1999,kanker,Noun,cancer
