,Dutch,POS,Translation
1250,opdracht,Noun,Job
1251,gevangen,Verb,captured
1252,hoek,Noun,corner
1253,vanmorgen,Adverb,this morning
1254,verandert,Verb,changes
1255,vis,Noun,fish
1256,waarvan,Adverb,of which
1257,heilige,Adjective,saint
1258,hoge,Adjective,high
1259,excuses,Noun,apologies
1260,bedoelde,Verb,referred to
1261,klas,Noun,class
1262,kogel,Noun,ball
1263,simpel,Adjective,easy
1264,hoogte,Noun,height
1265,honden,Verb,dogs
1266,waarmee,Adverb,by which
1267,goud,Noun,gold
1268,wens,Noun,wish
1269,prachtige,Adjective,gorgeous
1270,zakken,Verb,to fail
1271,eenmaal,Adverb,once
1272,kat,Noun,cat
1273,plaatsen,Noun,places
1274,rood,Adjective,red
1275,sleutels,Noun,Keys
1276,ware,Auxiliary,true
1277,onderzoeken,Verb,to research
1278,dachten,Verb,thought
1279,vrijheid,Noun,freedom
1280,sprak,Verb,spoke
1281,gooien,Verb,to throw
1282,last,Noun,burden
1283,rivier,Noun,river
1284,hiermee,Adverb,with this
1285,noemt,Verb,mentions
1286,blauwe,Adjective,blue
1287,hoelang,Noun,how long
1288,tante,Noun,aunt
1289,vele,Adverb,many
1290,soldaat,Noun,soldier
1291,huilen,Verb,to cry
1292,feit,Noun,fact
1293,programma,Noun,program
1294,getuige,Noun,witness
1295,Tommy,Proper noun,Tommy
1296,begraven,Verb,to bury
1297,gezeten,Verb,seated
1298,grap,Noun,joke
1299,Christus,Proper noun,Christ
1300,vriendje,Noun,boyfriend
1301,onmiddellijk,Adjective,immediately
1302,bereid,Adjective,prepared
1303,bedanken,Verb,to thank
1304,twintig,Numeral,twenty
1305,beeld,Noun,image
1306,verklaring,Noun,declaration
1307,woon,Verb,live
1308,twaalf,Numeral,twelve
1309,stelt,Verb,stilt
1310,beweging,Noun,movement
1311,duren,Verb,to last
1312,patiënt,Noun,patient
1313,thee,Noun,tea
1314,indruk,Noun,impression
1315,totaal,Adjective,total
1316,Parijs,Proper noun,Paris
1317,ballen,Noun,balls
1318,dorp,Noun,village
1319,stukje,Noun,piece
1320,leider,Noun,leader
1321,zwaard,Noun,sword
1322,kus,Verb,kiss
1323,taxi,Noun,cab
1324,gevoelens,Noun,feelings
1325,verdachte,Verb,suspect
1326,Engels,Proper noun,English
1327,zware,Adjective,heavy
1328,vlak,Adjective,right
1329,soldaten,Noun,soldiers
1330,zagen,Verb,saws
1331,lol,Noun,LOL
1332,langzaam,Adjective,slowly
1333,hangen,Verb,to hang
1334,keuken,Noun,kitchen
1335,wind,Noun,wind
1336,cel,Noun,cell
1337,breken,Verb,break
1338,vergeef,Verb,forgive
1339,geluid,Noun,sound
1340,slaapt,Verb,sleeps
1341,moorden,Noun,murders
1342,aangenaam,Adjective,nice to meet you
1343,geholpen,Verb,assisted
1344,beest,Verb,beast
1345,bier,Noun,beer
1346,actie,Noun,action
1347,dieren,Noun,animals
1348,krant,Noun,newspaper
1349,draag,Noun,carry
1350,leidt,Verb,leads
1351,ontvangen,Verb,received
1352,minuut,Noun,minute
1353,levens,Noun,lives
1354,appartement,Verb,apartment
1355,draaien,Verb,turn
1356,vakantie,Noun,holidays
1357,leer,Noun,learn
1358,sterft,Verb,dies
1359,mist,Verb,fog
1360,vecht,Verb,fight
1361,passen,Verb,to fit
1362,jurk,Noun,dress
1363,privé,Noun,privately
1364,hoer,Noun,whore
1365,chef,Noun,chief
