,Dutch,POS,Translation
1000,eind,Noun,end
1001,deden,Verb,did
1002,mijne,Pronoun,mine
1003,gooi,Noun,throw
1004,gast,Noun,guest
1005,zul,Auxiliary,will
1006,muur,Noun,wall
1007,dode,Adjective,dead
1008,gewerkt,Verb,worked
1009,kende,Verb,knew
1010,ma,Pronoun,Mon
1011,brand,Noun,fire
1012,sluit,Verb,close
1013,zon,Noun,Sun
1014,diep,Adjective,deep
1015,arme,Adjective,poor
1016,bureau,Noun,desk
1017,partner,Noun,partner
1018,zeiden,Verb,said
1019,boord,Noun,board
1020,deal,Determiner,deal
1021,leggen,Verb,to lay
1022,bom,Noun,bomb
1023,rijk,Adjective,rich
1024,meiden,Noun,girls
1025,held,Noun,hero
1026,klote,Noun,shit
1027,spreekt,Verb,speaks
1028,vijand,Noun,enemy
1029,schoenen,Noun,shoes
1030,gewonnen,Verb,won
1031,gebied,Noun,area
1032,operatie,Noun,operation
1033,volk,Noun,people
1034,bewegen,Verb,to move
1035,keek,Verb,watched
1036,speel,Adjective,play
1037,zuster,Noun,sister
1038,gelezen,Verb,read
1039,achteruit,Adverb,backwards
1040,trein,Noun,train
1041,extra,Adjective,additional
1042,lijk,Noun,corpse
1043,bereiken,Verb,reaches
1044,zee,Noun,sea
1045,cool,Noun,cool
1046,broek,Noun,pair of trousers
1047,aanval,Noun,attack
1048,neus,Noun,nose
1049,oma,Noun,Grandma
1050,systeem,Noun,system
1051,kalm,Adjective,calm
1052,code,Noun,code
1053,sergeant,Noun,sergeant
1054,hoog,Adjective,high
1055,draai,Noun,play
1056,slachtoffer,Noun,victim
1057,les,Noun,lesson
1058,uiteindelijk,Adjective,finally
1059,verdwenen,Verb,disappeared
1060,eiland,Noun,Island
1061,geschreven,Verb,written
1062,gewond,Adjective,injured
1063,plannen,Noun,plan
1064,spul,Proper noun,stuff
1065,uitleggen,Noun,to explain
1066,haast,Adverb,hast
1067,liegen,Noun,to lie
1068,la,Symbol,la
1069,vertaling,Noun,translation
1070,beloofd,Verb,promised
1071,rode,Adjective,red
1072,bracht,Verb,brought
1073,paard,Noun,horse
1074,winkel,Noun,store
1075,warm,Adjective,hot
1076,ex,Symbol,ex
1077,moeite,Noun,trouble
1078,camera,Noun,camera
1079,tijdje,Noun,while
1080,interessant,Adjective,interesting
1081,geheime,Adjective,secret
1082,hoeven,Verb,hooves
1083,feestje,Noun,party
1084,persoonlijk,Adjective,personal
1085,gedownload,Noun,downloaded
1086,vrede,Noun,peace
1087,lot,Noun,lot
1088,keus,Noun,choice
1089,bus,Noun,bus
1090,club,Noun,club
1091,gevecht,Noun,fight
1092,weggaan,Adverb,leave
1093,daarvan,Adverb,of them
1094,brief,Noun,letter
1095,lastig,Adjective,annoying
1096,raam,Noun,window
1097,levend,Verb,living
1098,professor,Noun,professor
1099,kiezen,Verb,to elect
1100,liep,Verb,walked
1101,vonden,Verb,found
1102,hangt,Verb,hangs
1103,sluiten,Verb,Close
1104,verdienen,Verb,to deserve
1105,helft,Noun,half
1106,teveel,Adverb,too many
1107,leeg,Adjective,empty
1108,bleef,Verb,Remained
1109,heerlijk,Adjective,Delicious
1110,eraf,Adverb,off
1111,gelukt,Verb,success
1112,helaas,Adverb,unfortunately
1113,stelen,Verb,to steal
1114,benen,Noun,legs
1115,gezet,Verb,put
1116,bekijken,Verb,to look at
1117,boodschap,Noun,errand
1118,eikel,Noun,jerk
1119,lift,Noun,elevator
1120,been,Noun,leg
1121,gekocht,Verb,purchased
1122,boeken,Noun,books
1123,groter,Adjective,taller
1124,opschieten,Noun,Hurry up
1125,gevallen,Noun,fallen
1126,donker,Adjective,dark
1127,rechts,Adjective,right
1128,aandacht,Noun,attention
1129,slaat,Verb,hit
1130,ophouden,Verb,to hold up
1131,drink,Noun,drink
1132,slag,Noun,battle
1133,vannacht,Adverb,tonight
1134,gehaald,Verb,fetched
1135,speciaal,Adjective,special
1136,meegenomen,Verb,brought
1137,koningin,Noun,queen
1138,godsnaam,Noun,God sake
1139,speciale,Adjective,special one
1140,test,Noun,test
1141,geschiedenis,Noun,history
1142,volledig,Adjective,complete
1143,zulke,Determiner,such
1144,raakt,Verb,hits
1145,adres,Noun,address
1146,alweer,Adverb,again
1147,meestal,Adverb,generally
1148,park,Noun,park
1149,regering,Noun,government
1150,ouwe,Adjective,old
1151,bestaan,Verb,to exist
1152,sheriff,Symbol,sheriff
1153,dak,Noun,roof
1154,zwanger,Adjective,pregnant
1155,gehouden,Verb,held
1156,zelfmoord,Noun,suicide
1157,vreemde,Adjective,stranger
1158,hopelijk,Adjective,hopefully
1159,adem,Noun,breath
1160,vernietigen,Verb,destroy
1161,betrokken,Verb,concerned
1162,betaal,Noun,pay
1163,koop,Noun,buy
1164,nek,Noun,neck
1165,brug,Noun,bridge
1166,bezoek,Noun,visit
1167,belt,Verb,calls
1168,kwalijk,Adjective,bad
1169,ongelooflijk,Adjective,unbelievable
1170,bar,Noun,bar
1171,ijs,Noun,ice
1172,overleven,Verb,to survive
1173,beiden,Pronoun,both
1174,meenemen,Verb,take
1175,gestorven,Verb,died
1176,ontslagen,Verb,dismissed
1177,aantal,Noun,number
1178,vuile,Proper noun,dirty
1179,geweer,Noun,rifle
1180,beurt,Noun,turn
1181,werkelijk,Adjective,really
1182,dichtbij,Adjective,close to
1183,zwart,Adjective,black
1184,laatst,Adjective,last
1185,liegt,Verb,lies
1186,voeten,Noun,feet
1187,lees,Verb,read
1188,wisten,Verb,knew
1189,zingen,Verb,to sing
1190,toestemming,Noun,permission
1191,gestopt,Verb,stopped
1192,zaten,Verb,sat
1193,kort,Adjective,short
1194,gepakt,Verb,caught
1195,knap,Adjective,good looking
1196,waarop,Adverb,on which
1197,betere,Adjective,better
1198,ontdekt,Verb,discovers
1199,doorgaan,Verb,Get on
1200,vlees,Noun,meat
1201,richting,Noun,direction
1202,ruzie,Noun,row
1203,verdient,Verb,deserves
1204,gesloten,Verb,Closed
1205,welterusten,Noun,Good night
1206,belachelijk,Adjective,ridiculous
1207,rekening,Noun,account
1208,verdorie,Noun,damn
1209,ach,Symbol,oh well
1210,monster,Noun,sample
1211,verrassing,Noun,surprise
1212,rechter,Noun,right
1213,ontsnappen,Verb,escape
1214,gasten,Noun,guests
1215,radio,Noun,radio
1216,energie,Noun,energy
1217,kennis,Noun,knowledge
1218,verlies,Noun,loss
1219,verschillende,Adjective,various
1220,tas,Noun,bag
1221,veiligheid,Noun,safety
1222,draagt,Verb,wears
1223,enig,Determiner,any
1224,voet,Noun,foot
1225,weekend,Noun,weekend
1226,haalt,Verb,fetches
1227,wijn,Noun,wine
1228,verschil,Noun,difference
1229,verkocht,Verb,sold
1230,stoel,Noun,chair
1231,commandant,Noun,commander
1232,gat,Noun,hole
1233,mes,Noun,knife
1234,beslissing,Noun,decision
1235,boom,Noun,tree
1236,glas,Noun,glass
1237,basis,Noun,base
1238,schrijf,Noun,write
1239,reet,Adjective,ass
1240,knul,Symbol,boy
1241,captain,Symbol,captain
1242,der,Determiner,der
1243,verjaardag,Noun,birthday
1244,geregeld,Verb,organized
1245,procent,Noun,per cent
1246,neergeschoten,Verb,shot
1247,spoor,Noun,track
1248,kilometer,Noun,kilometers
1249,bezorgd,Verb,Worried
